#,CodeSignaler,Level,Country,XP
1,lonerz,Level 100,Holy See,4553861
2,AWice,Level 100,Canada,3678454
3,romatua_l,Level 100,Indonesia,3573800
4,flatorez,Level 100,Czech Republic,3429424
5,pythagoras_i,Level 100,Germany,3247495
6,luc-hariman,Level 100,Madagascar,3137701
7,bruno_a3,Level 100,France,3131183
8,bcc32,Level 99,United States,2918128
9,sensytive,Level 99,Indonesia,2880008
10,Fasalytch,Level 98,Russian Federation,2788485
11,todayhumor,Level 98,Korea (Republic of),2731760
12,hung_n24,Level 98,United States,2597176
13,the_grits,Level 97,Canada,2564737
14,thelostemicolon,Level 97,Indonesia,2549928
15,maun,Level 97,Bangladesh,2530648
16,assaf_r,Level 97,United States,2514408
17,zero_cool,Level 97,Canada,2422015
18,qwertyu123,Level 97,Russian Federation,2406420
19,du_a,Level 96,Vietnam,2348360
20,meadow,Level 96,Monaco,2256658
21,programming_cat,Level 96,Germany,2227330
22,c_w,Level 96,United States,2223534
23,kenneth_p1,Level 96,United States,2174651
24,dayanruben,Level 95,Brazil,2118987
25,_yagnapatel,Level 95,United States,2093824
26,gabor_p,Level 95,United States,2076315
27,kien_the_sun,Level 95,Vietnam,2021192
28,vyvl,Level 95,India,2007495
29,sameerkhan2k,Level 95,India,1975769
30,hans_m14,Level 94,Namibia,1932940
31,Unihedron,Level 94,Hong Kong,1929547
32,med_abidi,Level 94,Antarctica,1873665
33,JohnMacTavish,Level 94,Vietnam,1869521
34,r3mainer,Level 94,United Kingdom,1800851
35,igorlutiy,Level 94,Ukraine,1772988
36,enigmawasp,Level 93,Ukraine,1734346
37,CuongVM,Level 93,Vietnam,1701968
38,Vahag_A,Level 93,Armenia,1696528
39,kov,Level 93,Hungary,1689057
40,virgis,Level 93,Lithuania,1632040
41,privet3711,Level 93,United States,1630814
42,Bogdan_Grecu,Level 93,Romania,1616324
43,vincentdiep61,Level 93,Canada,1578829
44,norbert_b,Level 93,Germany,1565748
45,tugisuwon,Level 92,Korea (Republic of),1501227
46,lbz,Level 92,United States,1486251
47,david_f25,Level 92,United States,1456743
48,serhii_m,Level 92,Ukraine,1438913
49,phantomassassin,Level 92,Vietnam,1421625
50,peacemakers,Level 92,Uzbekistan,1407335
51,awk,Level 92,Russian Federation,1393530
52,ricardo_dias,Level 92,Andorra,1390482
53,Albert_H_1,Level 92,Taiwan,1390427
54,matt_s70,Level 92,United States,1353762
55,daren,Level 92,China,1337058
56,vectar31,Level 92,India,1335710
57,shubhgkr,Level 92,India,1332819
58,Tvc97,Level 92,Vietnam,1330472
59,Roka,Level 92,Ukraine,1321732
60,opendeeple,Level 91,Uzbekistan,1308439
61,catrom,Level 91,Vietnam,1291134
62,edo_h,Level 91,United States,1271928
63,ermias_a,Level 91,United States,1265857
64,danhdoan,Level 91,Vietnam,1255519
65,ArgishtiM,Level 91,Armenia,1238352
66,grom32bit,Level 91,Russian Federation,1210812
67,dmehrab06,Level 91,Bangladesh,1182817
